date,e_a,T_max,T_min,RH_mean,RH_max,RH_min,P,U_z,rain_mm,n_sun,R_s,R_n,G,T_mean,T_dew,gamma,e_max,e_min,e_s,delta,R_a,U_2
2020-01-08,1.09,12.6,9.3,58.0,95.0,38.0,85.38,1.3,0.0,3.0,10.26,5.901664401350535,0.0,10.95,,0.0567777,1.4590281988655032,1.1715363388062088,1.315282268835856,0.0870001292642849,26.459873754824407,1.3002888648733144
2020-01-09,1.25,14.2,10.2,63.0,95.0,39.0,85.26,2.6,0.0,3.0,10.29,5.996423196464377,0.0,12.2,,0.0566979,1.6194713704253727,1.2445171553891614,1.431994262907267,0.09355701173233348,26.527511016784175,2.600577729746629
2020-01-10,1.16,13.3,10.2,60.0,95.0,45.0,85.2,3.2,0.0,3.0,10.31,5.967250758329255,0.0,11.75,,0.056658,1.5274177129026663,1.2445171553891614,1.3859674341459138,0.09114965631889961,26.598302772882658,3.200711051995851
2020-01-11,1.13,13.9,10.0,80.0,92.0,46.0,85.23,1.7,0.0,3.0,10.34,5.96355249873138,0.0,11.95,,0.056677950000000005,1.588260344620149,1.2279626193393784,1.4081114819797638,0.09221299409053613,26.672207746272974,1.7003777463727956
2020-01-12,1.1,12.2,9.7,76.0,95.0,44.0,85.29,1.3,0.0,2.0,9.14,5.539517070106771,0.0,10.95,,0.05671785000000001,1.4211682209835756,1.2034938513584403,1.3123310361710079,0.0870001292642849,26.749182720214634,1.3002888648733144
2020-01-13,1.2,12.9,10.1,59.0,99.0,35.0,85.3,1.1,0.0,3.8,11.37,6.440071227079914,0.0,11.5,,0.0567245,1.4880015210641748,1.23621552243184,1.3621085217480076,0.08983519168525664,26.82918256172516,1.1002444241235736
2020-01-14,1.23,13.6,10.6,58.0,95.0,37.0,85.22,2.0,0.0,3.4,10.91,6.281542458430623,0.0,12.1,,0.0566713,1.557578341061305,1.278215906569439,1.4178971238153721,0.09301741605544993,26.91216024682981,2.000444407497407
2020-01-15,1.32,15.2,10.8,61.0,90.0,38.0,85.12,1.6,0.0,6.0,14.15,7.600385310639176,0.0,13.0,,0.056604800000000004,1.727428862466867,1.2953640863937455,1.5113964744303061,0.09797057210130243,26.998066887445574,1.6003555259979254
2020-01-16,1.42,16.8,12.3,63.0,95.0,39.0,85.14,1.7,0.0,6.0,14.19,7.674025395855688,0.0,14.55,,0.056618100000000005,1.913305694509122,1.430551404412208,1.671928549460665,0.10702766472740684,27.08685175993411,1.7003777463727956
2020-01-17,1.44,16.2,12.7,62.0,96.0,37.0,85.21,1.8,0.0,7.4,15.97,8.433479121683117,0.0,14.45,,0.05666465,1.841645130417793,1.4686304419364882,1.6551377861771406,0.10642260092244296,27.178462335356034,1.800399966747666
2020-01-18,1.28,14.3,11.6,78.0,93.0,50.0,85.31,1.4,0.0,5.0,13.03,7.175689621014545,0.0,12.95,,0.05673115,1.6299939408502728,1.3659958455711463,1.4979948932107097,0.0976896262172949,27.272844311457145,1.4003110852481846
2020-01-19,1.4,14.7,13.3,75.0,96.0,58.0,85.39,1.1,0.0,9.0,18.06,9.286578539320857,0.0,14.0,,0.056784350000000004,1.6726864071818137,1.5274177129026663,1.6000520600422399,0.10373566746867496,27.369941646414098,1.1002444241235736
2020-01-20,1.49,16.3,13.3,63.0,85.0,47.0,85.5,1.7,0.0,9.0,18.11,9.418941173512376,0.0,14.8,,0.0568575,1.853422649205739,1.5274177129026663,1.6904201810542028,0.10855313174773554,27.46969659436458,1.7003777463727956
2020-01-21,1.38,16.1,12.0,64.0,95.0,40.0,85.47,1.4,0.0,5.4,13.66,7.5335821850303955,0.0,14.05,,0.05683755,1.8299332444264929,1.4025638730469563,1.6162485587367246,0.10403133711779046,27.572049742743886,1.4003110852481846
2020-01-22,1.53,18.7,13.7,72.0,98.0,43.0,85.15,1.8,0.0,7.4,16.22,8.664638932312577,0.0,16.2,,0.05662475,2.156601980075662,1.5677473692068915,1.8621746746412768,0.11744160443265084,27.676940051445925,1.800399966747666
2020-01-23,1.47,16.8,13.2,78.0,96.0,54.0,85.04,1.8,0.0,9.6,19.04,9.831496453098634,0.0,15.0,,0.05655160000000001,1.913305694509122,1.5174787226056794,1.7153922085574007,0.10978677277584367,27.784304893823883,1.800399966747666
2020-01-24,1.37,15.8,11.5,69.0,95.0,45.0,85.05,2.6,0.0,5.0,13.29,7.447605414444945,0.0,13.65,,0.05655825,1.7951882816867184,1.3569857803790661,1.5760870310328923,0.10168592079515978,27.894080099540982,2.600577729746629
2020-01-25,1.48,15.4,14.1,81.0,90.0,65.0,85.27,3.4,0.0,10.0,19.67,10.181357821962132,0.0,14.75,,0.05670455,1.7497618068909833,1.6090084391753954,1.6793851230331893,0.10824656894295409,28.006199999278298,3.400755492745591
2020-01-26,1.31,13.9,12.1,74.0,87.0,50.0,85.37,2.1,0.0,9.2,18.72,9.657198646359143,0.0,13.0,,0.05677105,1.588260344620149,1.4118391324838375,1.5000497385519933,0.09797057210130243,28.12059747130205,2.100466627872277
2020-01-27,1.29,15.7,11.4,68.0,98.0,43.0,85.2,2.9,0.0,5.0,13.43,7.491240671179709,0.0,13.55,,0.056658,1.7837358312436735,1.3480279711634873,1.5658819012035803,0.10110664678970402,28.237203989888226,2.9006443908712396
2020-01-28,1.01,12.4,8.3,60.0,94.0,32.0,84.97,2.1,0.0,0.8,8.11,5.321616725076104,0.0,10.350000000000001,,0.05650505,1.4399889496967868,1.0948860433443903,1.2674374965205886,0.08399468745125321,28.35594967559786,2.100466627872277
2020-01-29,0.96,11.5,8.2,52.0,87.0,28.0,84.9,4.1,0.0,3.0,10.97,6.415853309999518,0.0,9.85,,0.0564585,1.3569857803790661,1.087469457177191,1.2222276187781285,0.0815582480755405,28.476763347391387,4.100911035369683
2020-01-30,1.36,15.6,12.7,78.0,88.0,70.0,85.03,1.8,0.1,10.0,20.01,10.306705936747345,0.0,14.149999999999999,,0.056544950000000004,1.7723474716742158,1.4686304419364882,1.620488956805352,0.10462482688484939,28.599572576565425,1.800399966747666
2020-01-31,1.23,13.6,11.5,68.0,95.0,43.0,85.04,1.8,0.0,6.6,15.7,8.478271028248674,0.0,12.55,,0.05655160000000001,1.557578341061305,1.3569857803790661,1.4572820607201855,0.09546664421628191,28.724303742490587,1.800399966747666
2020-02-01,1.24,12.8,12.0,74.0,89.0,54.0,85.32,1.7,0.0,8.0,17.57,9.288331671796774,0.0,12.4,,0.0567378,1.4782881252432811,1.4025638730469563,1.4404259991451187,0.09464420525868417,28.850882090123303,1.7003777463727956
2020-02-02,1.2,12.8,11.1,65.0,79.0,48.0,85.43,0.9,0.0,9.4,19.45,10.052142357198623,0.0,11.95,,0.056810950000000006,1.4782881252432811,1.3214654993101305,1.3998768122767058,0.09221299409053613,28.97923178925985,0.900199983373833
2020-02-03,1.54,17.2,13.8,89.0,96.0,75.0,85.25,3.6,20.0,11.0,21.61,11.330267303024769,0.0,15.5,,0.05669125,1.9624256575788694,1.5779746093220435,1.7702001334504565,0.11292310671892747,29.109275995495146,3.600799933495332
2020-02-04,1.66,17.8,15.2,85.0,98.0,71.0,85.17,3.0,5.8,10.0,20.38,10.958766822638509,0.0,16.5,,0.05663805,2.038176335166181,1.727428862466867,1.882802598816524,0.11942456641907648,29.24093691284369,3.0006666112461096
2020-02-05,1.7,18.2,15.9,89.0,98.0,77.0,84.91,2.0,1.2,11.6,22.55,11.98641470511253,0.0,17.05,,0.05646515,2.0900878010879693,1.8067051290327525,1.948396465060361,0.1231338398112326,29.374135857974657,2.000444407497407
2020-02-06,1.22,14.7,9.9,70.0,97.0,45.0,84.84,1.2,0.0,1.0,8.69,5.7199694526385,0.0,12.3,,0.056418600000000006,1.6726864071818137,1.219758201825509,1.4462223045036615,0.09409927125839207,29.50879332600793,1.200266644498444
2020-02-07,1.09,14.0,8.6,62.0,97.0,35.0,84.96,2.0,0.0,1.0,8.73,5.720445567054654,0.0,11.3,,0.0564984,1.5986048594252917,1.1174036087713535,1.3580042340983227,0.08879528431170428,29.644829057812355,2.000444407497407
2020-02-08,1.17,14.4,9.7,78.0,95.0,54.0,85.34,2.9,0.0,1.0,8.77,5.768444267608416,0.0,12.05,,0.056751100000000006,1.6405764392484408,1.2034938513584403,1.4220351453034406,0.09274861384851198,29.782162108742416,2.9006443908712396
2020-02-09,1.28,15.5,10.4,79.0,95.0,50.0,85.37,3.5,0.0,3.0,11.46,6.94705997616812,0.0,12.95,,0.05677105,1.761022898120093,1.261267593034217,1.511145245577155,0.0976896262172949,29.920710918744305,3.500777713120462
2020-02-10,1.21,17.0,9.5,59.0,98.0,30.0,85.17,3.0,0.0,5.0,14.18,8.041611706188826,0.0,13.25,,0.05663805,1.9377293518704448,1.1874205365788533,1.562574944224649,0.09938564012741623,30.06039338375721,3.0006666112461096
2020-02-11,1.1,14.6,9.0,58.0,95.0,26.0,85.08,3.0,0.0,2.0,10.22,6.388119184167817,0.0,11.8,,0.0565782,1.6619223807933985,1.1480604779781116,1.404991429385755,0.09141450632939731,30.201126928330833,3.0006666112461096
